sample_start,sample_end,record_number,unique_storm_id,runoff_volume,percent_runoff_sampled,number_of_samples,comments,discrete,estimated,exclude,frozen,unique_storm_number,storm_start,storm_end,storm_type,storm_precipitation_inches,storm_erosivity_index,peak_discharge,storm_runoff_cubic_feet,storm_runoff_inches,suspended_sediment_80154_mg_l,flag_suspended_sediment,suspended_sediment_load_pounds,suspended_sediment_yield_pounds_per_acre,chloride_00940_mg_l,flag_chloride,chloride_load_pounds,chloride_yield_pounds_per_acre,no2_no3n_00631_mg_l,flag_no2_no3n,no2_no3n_load_pounds,no2_no3n_yield_pounds_per_acre,ammonium_n_00608_mg_l,flag_ammonium_n,ammonium_n_load_pounds,ammonium_n_yield_pounds_per_acre,tkn_unfiltered_00625_mg_l,flag_tkn_unfiltered,tkn_unfiltered_load_pounds,tkn_unfiltered_yield_pounds_per_acre,orthophosphate_00671_mg_l,flag_orthophosphate,orthophosphate_load_pounds,orthophosphate_yield_pounds_per_acre,tp_unfiltered_00665_mg_l,flag_tp_unfiltered,tp_unfiltered_load_pounds,tp_unfiltered_yield_pounds_per_acre,total_nitrogen_computed_mg_l,total_nitrogen_load_in_pounds,total_nitrogen_yield_pounds_per_acre,organic_nitrogen_computed_mg_l,organic_nitrogen_load_pounds,organic_nitrogen_yield_pounds_per_acre
06/01/14 20:46,06/01/14 23:01,255-14-13,ESW2-22c,4614,100%,,,0,0,0,0,69,06/01/14 20:46,06/01/14 23:01,,,,2.20,4614,0.047,5909,HT,1702.0,62.8,15.3,,4.406842476,0.2,10.2,,2.937894984,0.1,2.39,,0.69,0.03,27.40,,7.891992408,0.3,0.57,,0.16273634,0.0,8.82,,2.540415074,0.1,37.6,10.83,0.40,25.0,7.20,0.27
06/01/14 23:01,06/02/14 03:16,,ESW2-22d,,,,,0,1,0,0,70,06/01/14 23:01,06/02/14 03:16,,,,5.11,7957,0.081,5909,,2935.4,108.3,15.3,,7.600565394,0.3,10.2,,5.067043596,0.2,2.39,,1.19,0.04,27.40,,13.61147005,0.5,0.57,,0.280674474,0.0,8.82,,4.381502404,0.2,37.6,18.68,0.69,25.0,12.42,0.46
06/02/14 03:16,06/02/14 10:25,,ESW2-22e,,,,,0,1,0,0,71,06/02/14 03:16,06/02/14 10:25,,,,11.29,23285,0.237,5909,,8589.5,317.0,15.3,,22.24052523,0.8,10.2,,14.82701682,0.5,2.39,,3.47,0.13,27.40,,39.82943734,1.5,0.57,,0.821300442,0.0,8.82,,12.82100866,0.5,37.6,54.66,2.02,25.0,36.36,1.34
06/02/14 10:25,06/03/14 01:15,,ESW2-22f,,,,event produced from discretes,0,1,0,0,72,06/02/14 10:25,06/03/14 01:30,,,,42.53,101252,1.029,14986,,94726.4,3495.4,6.0,,37.92596532,1.4,4.2,,26.54817572,1.0,1.94,,12.26,0.45,57.00,,360.2966705,13.3,0.63,,3.963263376,0.1,20.60,,130.2124809,4.8,61.2,386.84,14.27,55.1,348.03,12.84
,,,,,,,,0,1,0,0,73,06/17/14 00:18,06/17/14 06:45,,,,0.55,3473,0.035,5909,,1281.3,47.3,15.3,,3.317510628,0.1,10.2,,2.211673752,0.1,2.39,,0.52,0.02,27.40,,5.941162824,0.2,0.57,,0.122509379,0.0,8.82,,1.912447303,0.1,37.6,8.15,0.30,25.0,5.42,0.20
,,,,,,,,0,1,0,0,74,06/18/14 02:21,06/19/14 08:00,,,,12.20,34188,0.348,5909,,12611.7,465.4,15.3,,32.6551979,1.2,10.2,,21.77013193,0.8,2.39,,5.10,0.19,27.40,,58.48055048,2.2,0.57,,1.205894563,0.0,8.82,,18.82476114,0.7,37.6,80.25,2.96,25.0,53.38,1.97
,,,,,,,,0,1,0,0,75,06/20/14 00:20,06/20/14 23:00,,,,4.98,8726,0.089,5909,,3219.1,118.8,15.3,,8.33503914,0.3,10.2,,5.55669276,0.2,2.39,,1.30,0.05,27.40,,14.92680212,0.6,0.57,,0.307797197,0.0,8.82,,4.804904916,0.2,37.6,20.48,0.76,25.0,13.62,0.50
,,,,,,,,0,1,0,0,76,06/23/14 04:34,06/23/14 11:00,,,,0.02,207,0.002,5909,,76.5,2.8,15.3,,0.198060336,0.0,10.2,,0.132040224,0.0,2.39,,0.03,0.00,27.40,,0.354696288,0.0,0.57,,0.007313993,0.0,8.82,,0.114175958,0.0,37.6,0.49,0.02,25.0,0.32,0.01
,,,,,,,,0,1,0,0,77,06/30/14 18:34,06/30/14 22:00,,,,0.02,121,0.001,5909,,44.6,1.6,15.3,,0.115535196,0.0,10.2,,0.077023464,0.0,2.39,,0.02,0.00,27.40,,0.206906168,0.0,0.57,,0.004266496,0.0,8.82,,0.066602642,0.0,37.6,0.28,0.01,25.0,0.19,0.01
,,,,,,,,0,1,0,0,78,07/01/14 17:55,07/02/14 10:45,,,,0.08,1158,0.012,5909,,427.1,15.8,15.3,,1.105836876,0.0,10.2,,0.737224584,0.0,2.39,,0.17,0.01,27.40,,1.980387608,0.1,0.57,,0.04083646,0.0,8.82,,0.637482434,0.0,37.6,2.72,0.10,25.0,1.81,0.07
,,,,,,,,0,1,0,0,79,07/07/14 23:00,07/08/14 13:30,,,,0.10,942,0.010,5909,,347.4,12.8,15.3,,0.899524026,0.0,10.2,,0.599682684,0.0,2.39,,0.14,0.01,27.40,,1.610912308,0.1,0.57,,0.033217717,0.0,8.82,,0.518549144,0.0,37.6,2.21,0.08,25.0,1.47,0.05
08/18/14 17:43,,426-14-1,ESW2-2059,,,,,1,0,0,0,80,08/18/14 17:39,08/18/14 18:30,,,,0.10,69,0.001,2306,,10.0,0.4,4.7,,0.020280688,0.0,1.5,,0.00647256,0.0,0.16,,0.00,0.00,6.60,,0.028479264,0.0,0.23,,0.001009719,0.0,2.53,,0.010917051,0.0,8.1,0.03,0.00,6.4,0.03,0.00
,,,,,,,,0,1,0,0,81,08/19/14 02:45,08/19/14 04:00,,,,0.02,43,0.000,1095,,3.0,0.1,5.8,,0.01564202,0.0,0.9,,0.00242721,0.0,0.05,,0.00,0.00,4.93,,0.013295717,0.0,0.40,,0.001065276,0.0,1.98,,0.005339862,0.0,5.8,0.02,0.00,4.9,0.01,0.00
08/25/14 08:35,08/25/14 12:30,451-14-2,ESW2-23,3231,98%,,,0,0,0,0,82,08/25/14 08:32,08/25/14 16:00,,,,1.57,3300,0.034,1095,HT,225.6,8.3,5.8,,1.195050328,0.0,0.9,,0.185438844,0.0,0.05,,0.01,0.00,4.93,,1.015792779,0.0,0.40,,0.081387048,0.0,1.98,,0.407965457,0.0,5.8,1.20,0.04,4.9,1.01,0.04
,,,,,,,,0,1,0,0,83,09/04/14 21:43,09/04/14 22:30,,,,0.05,60,0.001,208,,0.8,0.0,27.8,,0.104963348,0.0,0.2,,0.000755132,0.0,0.10,,0.00,0.00,3.21,,0.012119869,0.0,0.56,,0.002118145,0.0,1.06,,0.003990873,0.0,3.4,0.01,0.00,3.1,0.01,0.00
09/05/14 05:30,09/05/14 12:45,492-14-3,ESW2-24,24313,99%,,,0,0,0,0,84,09/05/14 05:15,09/05/14 23:30,,,,6.00,24512,0.249,1474,,2255.5,83.2,2.6,,3.978574756,0.1,0.5,,0.76511053,0.0,0.10,,0.15,0.01,6.70,,10.2524811,0.4,0.36,,0.547819139,0.0,2.45,,3.749041597,0.1,7.2,11.02,0.41,6.6,10.10,0.37
,,,,,,,,0,1,0,0,85,09/12/14 19:05,09/13/14 11:00,,,,0.04,544,0.006,208,,7.1,0.3,27.8,,0.944670132,0.0,0.2,,0.006796188,0.0,0.10,,0.00,0.00,3.21,,0.109078817,0.0,0.56,,0.019063307,0.0,1.06,,0.035917854,0.0,3.4,0.12,0.00,3.1,0.11,0.00
09/20/14 03:21,09/20/14 09:45,517-14-3,ESW2-25a,3430,93%,,,0,0,0,0,86,09/20/14 03:20,09/21/14 00:02,,,,0.55,3672,0.037,446,HT,102.2,3.8,14.1,,3.23223465,0.1,0.4,,0.0916946,0.0,0.10,,0.02,0.00,0.23,,0.052724395,0.0,0.60,,0.138000373,0.0,1.52,,0.34843948,0.0,0.6,0.14,0.01,0.1,0.03,0.00
09/21/14 00:02,09/21/14 05:04,517-14-4,ESW2-25b,873,100%,,,0,0,0,0,87,09/21/14 00:02,09/21/14 05:04,,,,0.18,873,0.009,208,HT,11.3,0.4,27.8,,1.514471164,0.1,0.2,,0.010895476,0.0,0.10,,0.01,0.00,3.21,,0.17487239,0.0,0.56,,0.03056181,0.0,1.06,,0.057582591,0.0,3.4,0.19,0.01,3.1,0.17,0.01
09/21/14 05:04,09/21/14 20:45,,ESW2-25c,,,,,0,1,0,0,88,09/21/14 05:04,09/21/14 21:00,,,,0.71,4337,0.044,446,,120.8,4.5,14.1,,3.817839516,0.1,0.4,,0.108307504,0.0,0.10,,0.03,0.00,0.23,,0.062276815,0.0,0.60,,0.163002794,0.0,1.52,,0.411568515,0.0,0.6,0.17,0.01,0.1,0.04,0.00
10/03/14 05:21,10/03/14 12:30,542-14-2,ESW2-26,2549,94%,,,0,0,0,0,89,10/3/2014 5:17,10/3/2014 22:30,,,,0.2374,2713,0.03,235,HT,39.8,1.5,18.6,,3.2,0.1,0.4,,0.07,0.00,0.07,,0.01,0.00,3.16,,0.54,0.02,0.69,,0.12,0.00,1.49,,0.25,0.01,3.6,0.60,0.02,3.1,0.52,0.02
10/13/14 18:37,10/14/14 12:13,559-14-3,ESW2-27,66139,100%,,,0,0,0,0,90,10/13/2014 18:31,10/14/2014 12:13,,,,10.2,66139,0.67,1259,HT,5198.4,191.8,5.4,,22.3,0.8,0.1,<,0.21,0.01,0.03,,0.12,0.00,7.8,,32.21,1.19,0.72,,2.98,0.11,3.48,,14.37,0.53,7.9,32.41,1.20,7.8,32.08,1.18
,,,,,#DIV/0!,,,0,1,0,0,91,10/14/2014 12:13,10/15/2014 2:53,,,,0.4104,3905,0.04,297,,72.4,2.7,15,,3.6,0.1,0,<,0.01,0.00,0.02,,0.00,0.00,3.32,,0.81,0.03,0.59,,0.14,0.01,1.33,,0.32,0.01,3.4,0.82,0.03,3.3,0.80,0.03
10/15/14 02:53,10/15/14 19:45,559-14-4,ESW2-28,11915,100%,,,0,0,0,0,92,10/15/14 02:53,10/15/14 19:45,,,,1.23,11914.56,0.12,297,HT,220.9,8.2,14.8,,11.0,0.4,0.100,<,0.04,0.00,0.0,,0.01,0.00,3.320,,2.47,0.09,0.6,,0.44,0.02,1.330,,0.99,0.04,3.4,2.51,0.09,3.3,2.45,0.09
,,,,,0%,,,0,1,0,0,93,10/15/14 19:45,10/18/14 18:15,,,,0.02,2082.24,0.02,297,,38.6,1.4,15,,1.9,0.1,0,<,0.01,0.00,0.02,,0.00,0.00,3.32,,0.43,0.02,0.59,,0.08,0.00,1.33,,0.17,0.01,3.4,0.44,0.02,3.3,0.43,0.02
11/23/14 15:46,11/24/14 19:16,623-14-1,ESW2-29,5867,100%,,,0,0,0,0,94,11/23/14 15:45,11/24/14 19:17,,,,0.25,5866.56,0.06,2,<,0.4,0.0,42.1,,15.4,0.6,0.200,,0.07,0.00,0.2,,0.08,0.00,3.130,,1.15,0.04,0.5,,0.17,0.01,0.799,,0.29,0.01,3.3,1.22,0.05,2.9,1.07,0.04
,,,,,0%,,,0,1,0,1,95,12/13/14 15:46,12/15/14 05:41,,,,0.63,38871.36,0.40,28,,67.9,2.5,31,,75.2,2.8,1,,2.67,0.10,0.1,,0.32,0.01,1.9,,4.49,0.17,0.4,,0.91,0.03,0.5,,1.19,0.04,3.0,7.16,0.26,1.7,4.17,0.15
12/15/14 05:41,,650-14-1,ESW2-30,,0%,1,,1,0,0,1,96,12/15/14 05:41,12/15/14 20:17,snowmelt,,,0.41,12977.28,0.13,28,HT,22.7,0.8,31.0,,25.1,0.9,1.100,,0.89,0.03,0.1,,0.11,0.00,1.850,,1.50,0.06,0.4,,0.30,0.01,0.489,,0.40,0.01,3.0,2.39,0.09,1.7,1.39,0.05
12/15/14 20:17,12/16/14 20:30,650-14-2,ESW2-31,45619,100%,6,,0,0,0,1,97,12/15/14 20:17,12/16/14 20:30,rain/snowmelt,,,1.79,45619.20,0.46,262,HT,746.2,27.5,29.8,,84.9,3.1,1.500,,4.27,0.16,0.1,,0.28,0.01,2.570,,7.32,0.27,0.4,,1.22,0.05,0.840,,2.39,0.09,4.1,11.59,0.43,2.5,7.03,0.26
,,,,,0%,,,0,1,0,1,98,12/16/14 20:30,12/17/14 16:15,,,,0.02,544.32,0.01,262,,8.9,0.3,30,,1.0,0.0,1.5,,0.05,0.00,0.1,,0.00,0.00,2.6,,0.09,0.00,0.4,,0.01,0.00,0.8,,0.03,0.00,4.1,0.14,0.01,2.5,0.08,0.00
,,,,,0%,,,0,1,0,1,99,12/20/14 05:45,12/20/14 13:30,,,,0.09,1581.12,0.02,838,,82.7,3.1,18,,1.8,0.1,1.1,,0.11,0.00,0.1,,0.01,0.00,5.2,,0.51,0.02,0.4,,0.04,0.00,1.9,,0.19,0.01,6.3,0.62,0.02,5.1,0.50,0.02
,,,ESW2-32a,,0%,,,0,1,0,1,100,12/22/14 11:45,12/23/14 03:11,,,,0.60,8233.92,0.08,838,,430.8,15.9,18,,9.4,0.3,1.1,,0.57,0.02,0.1,,0.07,0.00,5.2,,2.67,0.10,0.4,,0.22,0.01,1.9,,1.00,0.04,6.3,3.24,0.12,5.1,2.60,0.10
12/23/14 03:11,12/24/14 04:36,2-15-1,ESW2-32b,42172,100%,,,0,0,0,1,101,12/23/14 03:11,12/24/14 04:36,,,,4.06,42171.84,0.43,838,HT,2206.2,81.4,18.2,,47.9,1.8,1.100,,2.90,0.11,0.1,,0.37,0.01,5.200,,13.69,0.51,0.4,,1.13,0.04,1.940,,5.11,0.19,6.3,16.59,0.61,5.1,13.32,0.49
,,,ESW2-32c,,0%,,,0,1,0,1,102,12/24/14 04:36,12/25/14 05:00,,,,0.08,4026.24,0.04,838,,210.6,7.8,18,,4.6,0.2,1.1,,0.28,0.01,0.1,,0.04,0.00,5.2,,1.31,0.05,0.4,,0.11,0.00,1.9,,0.49,0.02,6.3,1.58,0.06,5.1,1.27,0.05
,,,,,0%,,,0,1,0,1,103,12/25/14 12:00,12/25/14 19:15,,,,0.09,1382.40,0.01,838,,72.3,2.7,18,,1.6,0.1,1.1,,0.09,0.00,0.1,,0.01,0.00,5.2,,0.45,0.02,0.4,,0.04,0.00,1.9,,0.17,0.01,6.3,0.54,0.02,5.1,0.44,0.02
,,,,,0%,,,0,1,0,1,104,12/26/14 11:00,12/27/14 23:30,,,,1.04,17850.24,0.18,838,,933.8,34.5,18,,20.3,0.7,1.1,,1.23,0.05,0.1,,0.16,0.01,5.2,,5.79,0.21,0.4,,0.48,0.02,1.9,,2.16,0.08,6.3,7.02,0.26,5.1,5.64,0.21
03/08/15 14:15,03/09/15 11:59,15-69-7,ESW2-33a,23890,100%,,,0,0,0,1,105,03/08/15 14:00,03/09/15 11:59,,,,3.78,23889.60,0.24,116,HT,173.0,6.4,11.0,,16.4,0.6,0.800,,1.19,0.04,1.2,,1.83,0.07,3.530,,5.26,0.19,0.5,,0.79,0.03,0.830,,1.24,0.05,4.3,6.46,0.24,2.3,3.43,0.13
03/09/15 11:59,03/10/15 10:15,15-69-8,ESW2-33b,24097,100%,,,0,0,0,1,106,03/09/15 11:59,03/10/15 10:15,,,,1.76,24096.96,0.24,411,HT,618.3,22.8,15.6,,23.5,0.9,0.200,,0.30,0.01,1.1,,1.71,0.06,4.720,,7.10,0.26,0.5,,0.79,0.03,1.290,,1.94,0.07,4.9,7.40,0.27,3.6,5.39,0.20
03/10/15 10:15,03/11/15 02:45,15-69-11,ESW2-33c,1676,100%,,,0,0,0,1,107,03/10/15 10:15,03/11/15 03:00,,,,0.18,1676.16,0.02,648,HT,0.0,0.0,13.2,,0.0,0.0,0.200,,0.00,0.00,0.9,,0.00,0.00,5.200,,0.00,0.00,0.5,,0.00,0.00,1.660,,0.00,0.00,5.4,0.00,0.00,4.3,0.00,0.00
,,,ESW2-33d,,0%,,,0,1,0,1,108,03/11/15 10:30,03/11/15 23:30,,,,0.07,1183.68,0.01,656,HT,0.0,0.0,14,,0.0,0.0,0.2,,0.00,0.00,1.0,,0.00,0.00,5.2,,0.00,0.00,0.5,,0.00,0.00,1.7,,0.00,0.00,5.4,0.00,0.00,4.2,0.00,0.00
04/09/15 04:00,04/09/15 13:45,,ESW2-34a,2298,100%,,,0,0,0,0,109,04/09/15 03:00,04/09/15 13:45,,,,0.38,2298.24,0.02,289,HT,30.2,1.1,26.7,,2.8,0.1,0.200,,0.02,0.00,1.2,,0.13,0.00,4.890,,0.51,0.02,0.4,,0.04,0.00,0.979,,0.10,0.00,5.1,0.53,0.02,3.7,0.38,0.01
04/09/15 13:45,04/09/15 19:01,,ESW2-34b,8908,100%,,,0,0,0,0,110,04/09/15 13:45,04/09/15 19:01,,,,1.46,8907.84,0.09,289,,21.4,0.8,26.7,,2.0,0.1,0.200,,0.01,0.00,1.2,,0.09,0.00,4.890,,0.36,0.01,0.4,,0.03,0.00,0.979,,0.07,0.00,5.1,0.38,0.01,3.7,0.27,0.01
04/09/15 19:01,04/10/15 01:03,,ESW2-34c,16554,100%,,,0,0,0,0,111,04/09/15 19:01,04/10/15 01:03,,,,3.59,16554.24,0.17,2129,,305.5,11.3,25.8,,3.7,0.1,1.700,,0.24,0.01,0.2,,0.03,0.00,10.300,,1.48,0.05,0.2,,0.03,0.00,3.880,,0.56,0.02,12.0,1.72,0.06,10.1,1.45,0.05
04/10/15 01:03,04/10/15 19:30,,ESW2-34d,16088,99%,,,0,1,0,0,114,04/10/15 01:03,04/11/15 13:30,,,,1.76,16243.20,0.17,1196,,1212.8,44.8,21.7,,22.0,0.8,2.600,,2.64,0.10,0.5,,0.55,0.02,7.700,,7.81,0.29,0.6,,0.62,0.02,2.730,,2.77,0.10,10.3,10.44,0.39,7.2,7.26,0.27
05/17/15 16:47,05/17/15 22:21,,ESW2-35,7862,100%,,,0,0,0,0,115,05/17/15 16:46,05/17/15 23:15,,,,6.19,7871.04,0.08,6060,,2977.7,109.9,8.8,,4.3,0.2,5.600,,2.75,0.10,0.4,,0.18,0.01,25.000,,12.28,0.45,0.4,,0.19,0.01,8.760,,4.30,0.16,30.6,15.04,0.55,24.6,12.11,0.45
05/24/15 19:13,05/25/15 04:32,,ESW2-36,16183,100%,,,0,0,0,0,116,05/24/15 19:08,05/25/15 04:32,,,,4.97,16182.72,0.16,2330,,2353.9,86.9,13.5,,13.6,0.5,15.100,,15.25,0.56,0.8,,0.79,0.03,9.200,,9.29,0.34,0.3,,0.35,0.01,3.110,,3.14,0.12,24.3,24.55,0.91,8.4,8.51,0.31
05/25/15 08:30,,,ESW2-2345g,,,,,1,0,0,0,117,05/25/15 04:32,05/25/15 14:30,,,,0.12,1624.32,0.02,25,,2.5,0.1,64.6,,6.6,0.2,55.000,,5.58,0.21,1.0,,0.10,0.00,4.200,,0.43,0.02,0.4,,0.04,0.00,0.651,,0.07,0.00,59.2,6.00,0.22,3.2,0.33,0.01
05/26/15 15:13,05/26/15 20:15,,ESW2-37,2722,100%,,,0,0,0,0,118,05/26/15 15:13,05/26/15 20:30,,,,0.97,2721.60,0.03,1400,,237.9,8.8,30.3,,5.1,0.2,21.300,,3.62,0.13,0.7,,0.12,0.00,10.000,,1.70,0.06,0.4,,0.06,0.00,2.580,,0.44,0.02,31.3,5.32,0.20,9.3,1.58,0.06
,,,ESW2-38,,0%,,,0,1,0,0,119,05/27/15 11:16,05/27/15 14:45,,,,0.08,293.76,0.00,645,,11.8,0.4,39,,0.7,0.0,36.6,,0.67,0.02,0.4,,0.01,0.00,4.6,,0.08,0.00,0.6,,0.01,0.00,1.7,,0.03,0.00,41.2,0.76,0.03,4.2,0.08,0.00
05/29/15 21:13,05/31/15 07:15,,ESW2-39,30292,99%,,,0,0,0,0,120,05/29/15 21:13,06/01/15 10:45,,,,3.92,30507.84,0.31,645,,1228.4,45.3,39.2,,74.7,2.8,36.600,,69.71,2.57,0.4,,0.72,0.03,4.600,,8.76,0.32,0.6,,1.23,0.05,1.650,,3.14,0.12,41.2,78.47,2.90,4.2,8.04,0.30
,,,,,,,,0,1,0,0,121,06/07/15 09:54,06/07/15 13:45,,,,0.01,34.56,0.00,645,,1.4,0.1,39,,0.1,0.0,36.6,,,,0.4,,0.00,0.00,4.6,,0.01,0.00,0.6,,0.00,0.00,1.7,,0.00,0.00,41.2,0.09,0.00,4.2,0.01,0.00
06/08/15 13:45,06/08/15 21:45,,ESW2-40,17531,99%,,,0,0,0,0,122,06/08/15 13:45,06/09/15 07:30,,,,12.69,17660.16,0.18,12300,,13560.7,500.4,2.8,,3.1,0.1,2.200,,2.43,0.09,0.4,,0.42,0.02,33.000,,36.38,1.34,0.4,,0.40,0.01,14.500,,15.99,0.59,35.2,38.81,1.43,32.6,35.96,1.33
06/11/15 11:58,06/12/15 14:30,,ESW2-41,75980,100%,,,0,0,0,0,123,06/11/15 11:45,06/13/15 11:00,,,,4.53,76066.56,0.77,627,,2977.4,109.9,18.4,,87.4,3.2,16.200,,76.93,2.84,0.2,,0.76,0.03,4.100,,19.47,0.72,0.5,,2.34,0.09,1.540,,7.31,0.27,20.3,96.40,3.56,3.9,18.71,0.69
06/15/15 15:37,06/16/15 10:30,,ESW2-42,63660,100%,,,0,0,0,0,124,06/15/15 15:35,06/17/15 13:00,,,,16.66,63789.12,0.65,3590,,14296.3,527.5,6.9,,27.5,1.0,2.600,,10.35,0.38,0.2,,0.88,0.03,12.000,,47.79,1.76,0.4,,1.49,0.06,4.330,,17.24,0.64,14.6,58.14,2.15,11.8,46.91,1.73
06/22/15 11:23,06/22/15 15:15,,ESW2-43,3335,97%,,,0,0,0,0,125,06/22/15 11:15,06/23/15 12:00,,,,1.90,3447.36,0.04,2720,,585.4,21.6,8.0,,1.7,0.1,0.900,,0.19,0.01,0.2,,0.05,0.00,8.500,,1.83,0.07,0.2,,0.04,0.00,3.400,,0.73,0.03,9.4,2.02,0.07,8.3,1.78,0.07
09/08/15 10:37,,,ESW2-2438,,0%,,,1,0,0,0,126,09/08/15 10:32,09/08/15 11:00,,,,0.05,43.20,0.00,462,,1.2,0.0,2.4,,0.0,0.0,0.100,<,0.00,0.00,0.1,,0.00,0.00,2.120,,0.01,0.00,0.3,,0.00,0.00,0.993,,0.00,0.00,2.2,0.01,0.00,2.1,0.01,0.00
09/19/15 00:36,09/19/15 09:45,,ESW2-44,6540,100%,,,0,0,0,0,127,09/19/15 00:35,09/19/15 10:00,,,,1.21,6540.48,0.07,447,,182.5,6.7,9.4,,3.8,0.1,0.100,<,0.02,0.00,0.0,,0.01,0.00,1.830,,0.75,0.03,1.2,,0.50,0.02,2.260,,0.92,0.03,1.9,0.77,0.03,1.8,0.74,0.03
10/31/15 11:00,11/01/15 02:00,1600234,ESW2-45,1434,100%,,,0,0,0,0,128,10/31/2015 10:56,11/1/2015 1:00,,,,0.0895,1434,0.01,63,,5.6,0.2,30.3,,2.7,0.1,1.5,,0.13,0.00,0.05,,0.00,0.00,2.01,,0.18,0.01,1.40,,0.13,0.00,1.70,,0.15,0.01,3.5,0.31,0.01,2.0,0.18,0.01
11/17/15 17:02,11/19/15 14:00,1600235,ESW2-46,2229,100%,,,0,0,0,0,129,11/17/2015 17:02,11/19/2015 14:00,,,,0.0555,2229,0.02,83,,11.6,0.4,118.0,,16.4,0.6,10.2,,1.42,0.05,0.49,,0.07,0.00,7.95,,1.11,0.04,0.79,,0.11,0.00,1.40,,0.19,0.01,18.2,2.53,0.09,7.5,1.04,0.04
11/26/15 14:30,11/28/15 03:45,,ESW2-47,31337,100%,,,0,0,0,0,130,11/26/2015 14:27,11/28/2015 3:45,,,,1.00,31337,0.32,110,,215.2,7.9,109.0,,213.2,7.9,15.1,,29.54,1.09,4.9,,9.51,0.35,12.500,,24.45,0.90,1.6,,3.13,0.12,2.20,,4.30,0.16,27.6,53.99,1.99,7.6,14.95,0.55
11/30/15 23:00,12/02/15 08:45,,ESW2-48,26317,86%,,,0,0,0,0,131,11/30/15 23:00,12/04/15 02:00,,,,0.61,30620,0.31,230,,439.7,16.2,80.5,,153.9,5.7,12.8,,24.47,0.90,3.6,,6.79,0.25,8.770,,16.76,0.62,1.4,,2.68,0.10,2.00,,3.82,0.14,21.6,41.23,1.52,5.2,9.98,0.37
,,,,,,,,0,1,0,0,132,12/04/15 10:30,12/05/15 04:00,,,,0.03,674,0.01,230,,9.7,0.4,80.5,,3.4,0.1,12.8,,0.54,0.02,3.6,,0.15,0.01,8.770,,0.37,0.01,1.4,,0.06,0.00,2.00,,0.08,0.00,21.6,0.91,0.03,5.2,0.22,0.01
,,,,,,,,0,1,0,0,133,12/05/15 09:45,12/06/15 06:00,,,,0.01,458,0.00,230,,6.6,0.2,80.5,,2.3,0.1,12.8,,0.37,0.01,3.6,,0.10,0.00,8.770,,0.25,0.01,1.4,,0.04,0.00,2.00,,0.06,0.00,21.6,0.62,0.02,5.2,0.15,0.01
,,,,,,,,0,1,0,0,134,12/10/15 18:45,12/11/15 09:30,,,,0.03,475,0.00,985,,29.2,1.1,47.9,,1.4,0.1,11.1,,0.33,0.01,1.6,,0.05,0.00,10.400,,0.31,0.01,1.3,,0.04,0.00,3.80,,0.11,0.00,21.5,0.64,0.02,8.8,0.26,0.01
12/13/15 04:40,12/13/15 13:05,,ESW2-49a,27199,100%,,,0,0,0,0,135,12/13/15 04:40,12/13/15 13:05,,,,1.64,27199,0.28,985,,1672.5,61.7,47.9,,81.3,3.0,11.1,,18.85,0.70,1.6,,2.75,0.10,10.400,,17.66,0.65,1.3,,2.21,0.08,3.80,,6.45,0.24,21.5,36.51,1.35,8.8,14.91,0.55
12/13/15 13:05,12/15/15 12:00,,ESW2-49b,204621,100%,,,0,0,0,0,136,12/13/15 13:05,12/15/15 12:00,,,,5.50,204621,2.08,1010,,12901.9,476.1,31.3,,399.8,14.8,8.9,,113.69,4.20,1.4,,18.14,0.67,9.310,,118.93,4.39,1.3,,16.61,0.61,3.60,,45.99,1.70,18.2,232.62,8.58,7.9,100.79,3.72
12/15/15 09:07,,,ESW2-49c-1030,,,,,1,0,0,0,137,12/15/15 12:00,12/16/15 05:44,,,,0.09,4260,0.04,18,,4.8,0.2,35.6,,9.5,0.3,8.2,,2.18,0.08,0.7,,0.19,0.01,3.720,,0.99,0.04,0.7,,0.18,0.01,0.98,,0.26,0.01,11.9,3.17,0.12,3.0,0.80,0.03
12/16/15 05:44,12/17/15 06:00,,ESW2-49d,12450,97%,,,0,0,0,0,138,12/16/15 05:44,12/17/15 13:45,,,,0.48,12830,0.13,176,,141.0,5.2,49.0,,39.2,1.4,8.1,,6.49,0.24,1.5,,1.16,0.04,5.070,,4.06,0.15,1.1,,0.88,0.03,1.60,,1.28,0.05,13.2,10.55,0.39,3.6,2.90,0.11
12/23/15 05:45,12/24/15 09:30,,ESW2-50,22766,90%,,,0,0,0,0,139,12/23/15 05:45,12/25/15 08:30,,,,0.93,25393,0.26,340,,539.0,19.9,59.7,,94.6,3.5,9.5,,15.06,0.56,2.7,,4.34,0.16,6.500,,10.30,0.38,1.3,,2.06,0.08,2.00,,3.17,0.12,16.0,25.36,0.94,3.8,5.96,0.22
02/19/16 16:30,02/20/16 09:19,,ESW2-51a,7223,100%,,,0,0,0,1,140,02/19/16 16:30,02/20/16 09:19,,,,0.17,7223,0.07,40,,18.0,0.7,11.6,,5.2,0.2,1.9,,0.86,0.03,0.7,,0.31,0.01,2.750,,1.24,0.05,0.4,,0.16,0.01,0.64,,0.29,0.01,4.7,2.10,0.08,2.1,0.93,0.03
